,Cve_Ent,Cve_Mun,nmun,tmax,tmin,Value
532,14,51,Juanacatlán,28.63,14.09,793
533,14,52,Juchitlán,24.64,13.48,954
534,14,53,Lagos de Moreno,26.7,9.83,752
535,14,54,El Limón,24.65,12.8,752
536,14,56,Santa María del Oro,29.83,16.15,563
537,14,57,La Manzanilla de la Paz,26.68,13.8,60
538,14,58,Mascota,25.92,14.35,611
539,14,59,Mazamitla,26.95,14.33,229
540,14,60,Mexticacán,27.84,10.69,631
541,14,61,Mezquitic,25.11,8.04,270
542,14,62,Mixtlán,26.64,12.16,293
543,14,63,Ocotlán,28.7,14.2,202
544,14,64,Ojuelos de Jalisco,25.28,8.48,948
545,14,65,Pihuamo,28.89,18.1,336
546,14,66,Poncitlán,27.82,16.27,317
547,14,67,Puerto Vallarta,27.22,18.52,722
548,14,68,Villa Purificación,27.85,17.23,450
549,14,69,Quitupan,27.45,15.17,461
550,14,70,El Salto,28.76,13.26,510
551,14,71,San Cristóbal de la Barranca,29.4,11.62,818
552,14,72,San Diego de Alejandría,28.31,10.98,179
553,14,73,San Juan de los Lagos,28.44,10.61,523
554,14,74,San Julián,27.53,11.01,136
555,14,76,San Martín de Bolaños,28.18,11.25,934
556,14,77,San Martín Hidalgo,28.28,12.2,942
557,14,78,San Miguel el Alto,26.8,11.12,624
558,14,80,San Sebastián del Oeste,27.6,16.0,296
559,14,81,Santa María de los Ángeles,24.19,6.68,494
560,14,82,Sayula,23.0,10.73,863
561,14,83,Tala,29.32,11.94,785
562,14,84,Talpa de Allende,26.43,16.15,451
563,14,85,Tamazula de Gordiano,27.49,14.87,640
564,14,86,Tapalpa,21.6,10.4,740
565,14,87,Tecalitlán,28.0,17.01,919
566,14,88,Tecolotlán,25.82,13.32,336
567,14,89,Techaluta de Montenegro,25.64,11.26,589
568,14,90,Tenamaxtlán,25.52,13.43,758
